City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavieng,PG,83.68,light rain,-2.5744,150.7967,Nusa Island Retreat
2,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
3,Grindavik,IS,47.89,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
4,Grand-Lahou,CI,77.02,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
5,Jamestown,US,65.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Greenwood,US,81.28,clear sky,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
7,Rikitea,PF,73.31,scattered clouds,-23.1203,-134.9692,People ThankYou
8,Esperance,AU,58.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
9,Butaritari,KI,82.27,clear sky,3.0707,172.7902,Isles Sunset Lodge
10,Kyzyl-Suu,KG,61.83,scattered clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
11,Pamplona,ES,62.51,broken clouds,42.8169,-1.6432,Hotel Albret
12,Khatanga,RU,66.31,overcast clouds,71.9667,102.5,"""Khatanga"""
13,Brownwood,US,96.12,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
14,Punta Arenas,CL,46.51,light rain,-53.15,-70.9167,Hotel Hain
15,Godalming,GB,54.36,clear sky,51.1846,-0.6173,The Kings Arms and Royal Hotel
16,Skibbereen,IE,54.1,broken clouds,51.55,-9.2667,The West Cork Hotel
17,Ponta Delgada,PT,62.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
18,Hobart,AU,53.06,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
19,Yellowknife,CA,64.04,scattered clouds,62.456,-114.3525,The Explorer Hotel
20,Ushuaia,AR,40.66,mist,-54.8,-68.3,Albatross Hotel
21,Thompson,CA,66.25,broken clouds,55.7435,-97.8558,Burntwood Hotel
22,Kahului,US,84.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
23,New Norfolk,AU,52.72,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
24,Mataura,NZ,45.48,light rain,-46.1927,168.8643,Ellie's Villa
25,Clyde River,CA,33.24,broken clouds,70.4692,-68.5914,Qamaq Hotel
26,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
27,Fairbanks,US,70.02,haze,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
28,Atuona,PF,77.59,broken clouds,-9.8,-139.0333,Villa Enata
29,Longyearbyen,SJ,39.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
30,Liwale,TZ,59.63,clear sky,-9.7667,37.9333,Nakivubo Executive Lodge
31,Grand Forks,US,74.93,broken clouds,47.9417,-97.4337,Warrior Inn
32,Arraial Do Cabo,BR,68.18,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
33,Hami,CN,90.09,clear sky,42.8,93.45,Laoyutang Resort
35,Alice Springs,AU,58.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
37,Bengkulu,ID,80.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Nikolskoye,RU,52.79,overcast clouds,59.7035,30.7861,Tourist House - Sablino
39,Bluff,NZ,45.81,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
40,Rocha,UY,42.46,clear sky,-34.4833,-54.3333,Hotel Arrarte
41,Port Alfred,ZA,75.94,overcast clouds,-33.5906,26.891,The Halyards Hotel
42,Mount Gambier,AU,51.71,overcast clouds,-37.8333,140.7667,The Commodore
43,Mar Del Plata,AR,49.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
45,Hithadhoo,MV,83.52,overcast clouds,-0.6,73.0833,Scoop Guest House
46,Najran,SA,77.63,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
47,Tura,IN,76.42,light rain,25.5198,90.2201,Hotel RIKMAN Continental
48,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Cape Town,ZA,60.35,moderate rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
50,Vaini,TO,82.56,smoke,-21.2,-175.2,Keleti Beach Resort
51,Esmeraldas,BR,65.26,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada
52,Enshi,CN,71.98,overcast clouds,30.3,109.4833,Moevenpick Enshi
53,Tuatapere,NZ,45.72,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
55,Caravelas,BR,72.01,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
56,Santa Isabel Do Rio Negro,BR,70.41,overcast clouds,-0.4139,-65.0192,Hotel GSA
57,Bredasdorp,ZA,59.23,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
58,Swan Hill,AU,56.32,clear sky,-35.3378,143.5544,Lazy River Motor Inn
61,Ancud,CL,51.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
63,Busselton,AU,59.94,overcast clouds,-33.65,115.3333,Observatory Guest House
64,San Vicente,AR,35.6,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
65,Salalah,OM,81.52,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
66,Lompoc,US,79.02,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
67,Acari,PE,65.03,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
68,Gat,IL,72.28,overcast clouds,31.61,34.7642,OlusHome
69,Paamiut,GL,35.1,overcast clouds,61.994,-49.6678,Pistut
71,Benguela,AO,70.48,clear sky,-12.5763,13.4055,Hotel Praia Morena
72,Hella,NO,51.89,overcast clouds,67.2,14.4333,Djupvatnet rasteplass
73,Kruisfontein,ZA,62.58,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
74,Narsaq,GL,44.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
75,Progreso,MX,84.31,clear sky,21.2833,-89.6667,Playa Linda Hotel
76,Hermanus,ZA,60.66,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
77,Sisimiut,GL,32.58,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
78,Upernavik,GL,28.29,broken clouds,72.7868,-56.1549,Café de Upernavik
79,Mkushi,ZM,48.15,clear sky,-13.6202,29.3939,Mkushi Police Club
80,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
81,Mehran,IR,88.81,clear sky,33.1222,46.1646,بوتیک زنانه بهار
82,Saint-Philippe,RE,69.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
84,Rosita,NI,71.91,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
85,Manchester,GB,53.83,broken clouds,53.4809,-2.2374,The Gardens Hotel
86,Leningradskiy,RU,35.62,overcast clouds,69.3833,178.4167,Gostinitsa
87,Vanimo,PG,85.26,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
89,Hinatuan,PH,85.53,overcast clouds,8.3722,126.3342,Villa Juanita Hinatuan
90,Ramhormoz,IR,87.8,clear sky,31.28,49.6035,کافی نت کاریزما
91,Svetlyy,RU,52.97,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
