City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavieng,PG,-2.5744,150.7967,83.68,70,98,11.81,light rain
1,Nioro,GM,13.35,-15.75,78.8,74,100,9.53,overcast clouds
2,Bambous Virieux,MU,-20.3428,57.7575,70.21,79,49,18.5,light rain
3,Grindavik,IS,63.8424,-22.4338,47.89,100,100,17.27,light intensity drizzle
4,Grand-Lahou,CI,5.1367,-5.0242,77.02,77,55,7.52,broken clouds
5,Jamestown,US,42.097,-79.2353,65.01,67,97,1.01,overcast clouds
6,Greenwood,US,34.1668,-82.1165,81.28,78,0,0.0,clear sky
7,Rikitea,PF,-23.1203,-134.9692,73.31,68,36,13.65,scattered clouds
8,Esperance,AU,-33.8667,121.9,58.84,69,87,30.69,overcast clouds
9,Butaritari,KI,3.0707,172.7902,82.27,67,0,14.56,clear sky
10,Kyzyl-Suu,KG,42.3414,78.0056,61.83,65,35,1.77,scattered clouds
11,Pamplona,ES,42.8169,-1.6432,62.51,88,75,2.3,broken clouds
12,Khatanga,RU,71.9667,102.5,66.31,34,100,11.99,overcast clouds
13,Brownwood,US,31.7093,-98.9912,96.12,27,0,10.36,clear sky
14,Punta Arenas,CL,-53.15,-70.9167,46.51,87,100,11.5,light rain
15,Godalming,GB,51.1846,-0.6173,54.36,81,10,3.44,clear sky
16,Skibbereen,IE,51.55,-9.2667,54.1,76,60,8.86,broken clouds
17,Ponta Delgada,PT,37.7333,-25.6667,62.51,88,20,6.91,few clouds
18,Hobart,AU,-42.8794,147.3294,53.06,63,20,9.22,few clouds
19,Yellowknife,CA,62.456,-114.3525,64.04,51,37,4.76,scattered clouds
20,Ushuaia,AR,-54.8,-68.3,40.66,93,75,2.3,mist
21,Thompson,CA,55.7435,-97.8558,66.25,51,70,4.61,broken clouds
22,Kahului,US,20.8947,-156.47,84.22,68,0,24.16,clear sky
23,New Norfolk,AU,-42.7826,147.0587,52.72,78,63,1.01,broken clouds
24,Mataura,NZ,-46.1927,168.8643,45.48,90,100,12.48,light rain
25,Clyde River,CA,70.4692,-68.5914,33.24,71,53,2.84,broken clouds
26,Avarua,CK,-21.2078,-159.775,80.65,69,20,12.66,few clouds
27,Fairbanks,US,64.8378,-147.7164,70.02,38,0,3.44,haze
28,Atuona,PF,-9.8,-139.0333,77.59,67,62,18.12,broken clouds
29,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,3.44,broken clouds
30,Liwale,TZ,-9.7667,37.9333,59.63,62,2,4.97,clear sky
31,Grand Forks,US,47.9417,-97.4337,74.93,53,75,8.05,broken clouds
32,Arraial Do Cabo,BR,-22.9661,-42.0278,68.18,60,100,26.35,overcast clouds
33,Hami,CN,42.8,93.45,90.09,6,0,7.38,clear sky
34,Abu Samrah,SY,35.3029,37.1841,66.76,75,0,14.54,clear sky
35,Alice Springs,AU,-23.7,133.8833,58.55,51,0,8.05,clear sky
36,Saint George,US,37.1041,-113.5841,100.99,6,0,27.63,clear sky
37,Bengkulu,ID,-3.8004,102.2655,80.46,71,100,2.24,overcast clouds
38,Nikolskoye,RU,59.7035,30.7861,52.79,85,91,4.21,overcast clouds
39,Bluff,NZ,-46.6,168.3333,45.81,71,100,29.3,light rain
40,Rocha,UY,-34.4833,-54.3333,42.46,93,2,3.13,clear sky
41,Port Alfred,ZA,-33.5906,26.891,75.94,32,100,19.86,overcast clouds
42,Mount Gambier,AU,-37.8333,140.7667,51.71,87,100,9.22,overcast clouds
43,Mar Del Plata,AR,-38.0023,-57.5575,49.08,68,0,4.0,clear sky
44,Shestakovo,RU,56.4915,103.96,72.75,51,100,8.84,overcast clouds
45,Hithadhoo,MV,-0.6,73.0833,83.52,73,100,7.9,overcast clouds
46,Najran,SA,17.4924,44.1277,77.63,22,75,6.08,broken clouds
47,Tura,IN,25.5198,90.2201,76.42,96,99,7.05,light rain
48,Hilo,US,19.7297,-155.09,87.28,80,100,8.05,overcast clouds
49,Cape Town,ZA,-33.9258,18.4232,60.35,90,100,8.01,moderate rain
50,Vaini,TO,-21.2,-175.2,82.56,74,40,11.5,smoke
51,Esmeraldas,BR,-19.7625,-44.3139,65.26,48,100,3.85,overcast clouds
52,Enshi,CN,30.3,109.4833,71.98,84,100,0.63,overcast clouds
53,Tuatapere,NZ,-46.1333,167.6833,45.72,76,100,20.04,overcast clouds
54,Vanavara,RU,60.34,102.2797,65.62,50,98,5.23,overcast clouds
55,Caravelas,BR,-17.7125,-39.2481,72.01,89,94,4.05,overcast clouds
56,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,70.41,99,100,3.09,overcast clouds
57,Bredasdorp,ZA,-34.5322,20.0403,59.23,70,100,7.07,overcast clouds
58,Swan Hill,AU,-35.3378,143.5544,56.32,60,7,4.61,clear sky
59,Tilichiki,RU,60.4667,166.1,49.68,56,100,5.14,overcast clouds
60,Provideniya,RU,64.3833,-173.3,41.11,63,100,1.36,overcast clouds
61,Ancud,CL,-41.8697,-73.8203,51.22,87,100,11.97,light rain
62,Albany,US,42.6001,-73.9662,66.61,88,100,1.01,overcast clouds
63,Busselton,AU,-33.65,115.3333,59.94,69,94,16.73,overcast clouds
64,San Vicente,AR,-26.6167,-54.1333,35.6,92,0,2.62,clear sky
65,Salalah,OM,17.0151,54.0924,81.52,84,13,3.15,few clouds
66,Lompoc,US,34.6391,-120.4579,79.02,82,100,21.0,overcast clouds
67,Acari,PE,-15.4311,-74.6158,65.03,72,30,3.27,scattered clouds
68,Gat,IL,31.61,34.7642,72.28,65,89,10.25,overcast clouds
